"event","date","ip","entity"
"bot3","2015-09-01","235.56.188.57","235.56.188"
"bot3","2015-09-01","206.125.206.160","206.125.206"
"bot3","2015-09-01","75.196.171.216","75.196.171"
"bot2","2015-09-01","70.100.111.202","70.100.111"
"bot1","2015-09-01","75.182.185.3","75.182.185"
"bot3","2015-09-01","235.56.188.100","235.56.188"
"bot1","2015-09-01","235.109.9.162","235.109.9"
"bot2","2015-09-01","191.234.168.12","191.234.168"
"bot1","2015-09-01","204.192.230.149","204.192.230"
"bot2","2015-09-01","168.175.174.235","168.175.174"
"bot3","2015-09-01","1.106.159.186","1.106.159"
"bot3","2015-09-01","87.30.217.60","87.30.217"
"bot1","2015-09-01","58.160.43.175","58.160.43"
"bot2","2015-09-01","152.135.228.46","152.135.228"
"bot2","2015-09-01","80.134.27.78","80.134.27"
"bot1","2015-09-01","80.171.210.249","80.171.210"
"bot1","2015-09-01","52.184.99.211","52.184.99"
"bot2","2015-09-01","109.203.11.190","109.203.11"
"bot3","2015-09-01","95.99.193.212","95.99.193"
"bot1","2015-09-01","80.171.210.33","80.171.210"
"bot3","2015-09-01","81.180.101.190","81.180.101"
"bot1","2015-09-01","23.118.240.23","23.118.240"
"bot3","2015-09-01","120.221.40.182","120.221.40"
"bot1","2015-09-01","58.160.43.150","58.160.43"
"bot1","2015-09-01","240.86.196.126","240.86.196"
"bot3","2015-09-01","159.63.234.46","159.63.234"
"bot1","2015-09-01","34.126.117.15","34.126.117"
"bot3","2015-09-01","201.105.213.30","201.105.213"
"bot3","2015-09-01","55.184.31.162","55.184.31"
"bot2","2015-09-01","162.64.58.177","162.64.58"
"bot2","2015-09-01","220.93.158.196","220.93.158"
"bot2","2015-09-01","202.166.199.127","202.166.199"
"bot1","2015-09-01","55.111.209.227","55.111.209"
"bot3","2015-09-01","159.63.234.40","159.63.234"
"bot2","2015-09-01","184.183.185.141","184.183.185"
"bot1","2015-09-01","193.227.90.129","193.227.90"
"bot1","2015-09-01","34.126.117.89","34.126.117"
"bot2","2015-09-01","53.119.17.88","53.119.17"
"bot3","2015-09-01","237.109.10.64","237.109.10"
"bot2","2015-09-01","190.223.233.236","190.223.233"
"bot2","2015-09-01","61.224.135.15","61.224.135"
"bot2","2015-09-01","44.63.44.21","44.63.44"
"bot3","2015-09-01","185.197.68.92","185.197.68"
"bot1","2015-09-01","70.209.211.105","70.209.211"
"bot1","2015-09-01","221.156.133.163","221.156.133"
"bot1","2015-09-01","225.147.195.88","225.147.195"
"bot2","2015-09-01","70.100.111.17","70.100.111"
"bot1","2015-09-01","173.167.137.120","173.167.137"
"bot3","2015-09-01","202.19.42.208","202.19.42"
"bot1","2015-09-01","221.156.133.188","221.156.133"
"bot3","2015-09-01","176.158.108.191","176.158.108"
"bot2","2015-09-01","168.175.174.204","168.175.174"
"bot1","2015-09-01","216.127.123.192","216.127.123"
"bot2","2015-09-01","166.14.164.66","166.14.164"
"bot3","2015-09-01","21.34.201.199","21.34.201"
"bot2","2015-09-01","80.134.27.11","80.134.27"
"bot1","2015-09-01","119.36.98.50","119.36.98"
"bot2","2015-09-01","202.166.199.181","202.166.199"
"bot1","2015-09-01","232.74.198.134","232.74.198"
"bot2","2015-09-01","3.109.173.202","3.109.173"
"bot1","2015-09-01","70.209.211.246","70.209.211"
"bot3","2015-09-01","26.21.94.217","26.21.94"
"bot2","2015-09-01","97.138.121.17","97.138.121"
"bot2","2015-09-01","220.93.158.26","220.93.158"
"bot1","2015-09-01","226.226.147.7","226.226.147"
"bot1","2015-09-01","119.36.98.135","119.36.98"
"bot1","2015-09-01","23.118.240.157","23.118.240"
"bot2","2015-09-01","190.223.233.4","190.223.233"
"bot2","2015-09-01","70.100.111.173","70.100.111"
